Order_ID,Date,Month,Quarter,Category,Product,City,State,Quantity,Unit_Price,Discount_Percent,Final_Amount,Payment_Method,Order_Status,Customer_Rating
ORD10000,2023-11-24,November,Q4,Sports,Football,Hyderabad,Telangana,2,3616.92,7.0,6727.47,Cash on Delivery,Delivered,3.3
ORD10001,2023-02-27,February,Q1,Grocery,Rice 5kg,Kolkata,West Bengal,3,35001.7,38.0,65103.16,Net Banking,Returned,3.8
ORD10002,2023-01-13,January,Q1,Clothing,Jacket,Mumbai,Maharashtra,4,36739.97,24.0,111689.51,Debit Card,Cancelled,2.6
ORD10003,2023-05-21,May,Q2,Electronics,Headphones,Jaipur,Rajasthan,1,38167.29,7.0,35495.58,Net Banking,Delivered,3.8
ORD10004,2023-05-06,May,Q2,Home & Kitchen,Water Bottle,Pune,Maharashtra,4,48454.31,19.0,156991.96,UPI,Delivered,3.5
ORD10005,2023-04-25,April,Q2,Home & Kitchen,Bedsheet,Pune,Maharashtra,4,14446.48,38.0,35827.27,Cash on Delivery,Delivered,4.5
ORD10006,2023-03-13,March,Q1,Grocery,Rice 5kg,Madurai,Tamil Nadu,3,16197.53,39.0,29641.48,Cash on Delivery,Delivered,3.5
ORD10007,2023-02-22,February,Q1,Grocery,Tea 250g,Mumbai,Maharashtra,2,25946.05,25.0,38919.07,Net Banking,Delivered,3.7
ORD10008,2023-12-13,December,Q4,Sports,Yoga Mat,Ahmedabad,Gujarat,2,46387.25,18.0,76075.09,Credit Card,Delivered,4.2
ORD10009,2023-10-07,October,Q4,Sports,Football,Hyderabad,Telangana,5,733.04,16.0,3078.77,Credit Card,Returned,3.1
ORD10010,2023-02-14,February,Q1,Clothing,Jeans,Kolkata,West Bengal,3,25468.16,11.0,67999.99,Net Banking,Delivered,4.6
ORD10011,2023-10-30,October,Q4,Grocery,Biscuits,Bangalore,Karnataka,4,9570.99,24.0,29095.81,Debit Card,Delivered,4.4
ORD10012,2023-08-05,August,Q3,Books,UPSC Guide,Madurai,Tamil Nadu,5,13395.27,0.0,66976.35,Cash on Delivery,Cancelled,4.3
ORD10013,2023-01-17,January,Q1,Grocery,Dal 1kg,Kolkata,West Bengal,5,24242.85,13.0,105456.4,Net Banking,Returned,4.4
ORD10014,2023-01-16,January,Q1,Beauty,Shampoo,Chennai,Tamil Nadu,5,19179.39,34.0,63291.99,UPI,Returned,3.5
ORD10015,2023-02-17,February,Q1,Toys,RC Car,Bangalore,Karnataka,4,48242.98,5.0,183323.32,UPI,Delivered,4.9
ORD10016,2023-04-22,April,Q2,Grocery,Rice 5kg,Ahmedabad,Gujarat,4,816.61,6.0,3070.45,Debit Card,Delivered,4.7
ORD10017,2023-04-30,April,Q2,Grocery,Oil 1L,Madurai,Tamil Nadu,5,34650.59,26.0,128207.18,Cash on Delivery,Returned,4.6
ORD10018,2023-09-16,September,Q3,Beauty,Lipstick,Ahmedabad,Gujarat,1,30892.1,9.0,28111.81,UPI,Delivered,4.2
ORD10019,2023-11-05,November,Q4,Clothing,Kurta,Delhi,Delhi,1,22211.74,28.0,15992.45,Credit Card,Delivered,4.8
ORD10020,2023-01-14,January,Q1,Electronics,Headphones,Madurai,Tamil Nadu,3,21562.81,10.0,58219.59,Debit Card,Delivered,3.5
ORD10021,2023-10-15,October,Q4,Home & Kitchen,Mixer Grinder,Jaipur,Rajasthan,4,31004.53,10.0,111616.31,Debit Card,Delivered,4.8
ORD10022,2023-04-12,April,Q2,Grocery,Oil 1L,Kolkata,West Bengal,3,33358.69,36.0,64048.68,UPI,Cancelled,3.7
ORD10023,2023-11-29,November,Q4,Home & Kitchen,Mixer Grinder,Kolkata,West Bengal,3,49383.2,12.0,130371.65,UPI,Returned,4.9
ORD10024,2023-12-26,December,Q4,Books,Python Guide,Pune,Maharashtra,4,5377.33,15.0,18282.92,UPI,Delivered,3.4
ORD10025,2023-10-07,October,Q4,Electronics,Smart Watch,Hyderabad,Telangana,1,28318.15,27.0,20672.25,Credit Card,Cancelled,4.4
ORD10026,2023-08-03,August,Q3,Grocery,Oil 1L,Chennai,Tamil Nadu,5,40106.5,9.0,182484.58,UPI,Delivered,3.0
ORD10027,2023-04-23,April,Q2,Clothing,T-Shirt,Hyderabad,Telangana,4,1716.56,15.0,5836.3,UPI,Delivered,2.8
ORD10028,2023-08-18,August,Q3,Toys,Board Game,Chennai,Tamil Nadu,2,39336.31,35.0,51137.2,Cash on Delivery,Delivered,3.4
ORD10029,2023-10-29,October,Q4,Home & Kitchen,Bedsheet,Kolkata,West Bengal,3,37340.64,14.0,96338.85,Credit Card,Delivered,2.8
ORD10030,2023-05-23,May,Q2,Sports,Dumbbells,Ahmedabad,Gujarat,3,4560.63,16.0,11492.79,Credit Card,Returned,3.2
ORD10031,2023-01-04,January,Q1,Beauty,Perfume,Jaipur,Rajasthan,4,41129.74,38.0,102001.76,Debit Card,Returned,2.8
ORD10032,2023-03-23,March,Q1,Electronics,Tablet,Ahmedabad,Gujarat,3,45767.03,9.0,124943.99,Net Banking,Delivered,2.7
ORD10033,2023-12-24,December,Q4,Toys,LEGO Set,Bangalore,Karnataka,1,47315.76,12.0,41637.87,Credit Card,Delivered,3.7
ORD10034,2023-08-05,August,Q3,Home & Kitchen,Curtains,Kolkata,West Bengal,3,33540.79,30.0,70435.66,Net Banking,Cancelled,4.9
ORD10035,2023-06-24,June,Q2,Home & Kitchen,Curtains,Delhi,Delhi,4,30801.83,38.0,76388.54,UPI,Delivered,3.2
ORD10036,2023-05-23,May,Q2,Grocery,Tea 250g,Chennai,Tamil Nadu,3,5012.76,27.0,10977.94,UPI,Delivered,3.9
ORD10037,2023-03-21,March,Q1,Toys,Doll,Chennai,Tamil Nadu,1,47453.09,33.0,31793.57,Debit Card,Cancelled,2.7
ORD10038,2023-04-21,April,Q2,Electronics,Smartphone,Madurai,Tamil Nadu,2,49441.6,31.0,68229.41,Cash on Delivery,Delivered,3.0
ORD10039,2023-06-22,June,Q2,Sports,Football,Madurai,Tamil Nadu,2,39442.76,24.0,59953.0,Debit Card,Delivered,3.2
ORD10040,2023-02-22,February,Q1,Books,Python Guide,Delhi,Delhi,1,6633.57,14.0,5704.87,Cash on Delivery,Delivered,4.5
ORD10041,2023-02-17,February,Q1,Electronics,Laptop,Hyderabad,Telangana,1,6381.59,17.0,5296.72,Credit Card,Returned,2.8
ORD10042,2023-07-14,July,Q3,Grocery,Oil 1L,Ahmedabad,Gujarat,5,5497.25,20.0,21989.0,Credit Card,Cancelled,4.9
ORD10043,2023-02-19,February,Q1,Books,UPSC Guide,Mumbai,Maharashtra,1,49929.41,34.0,32953.41,Credit Card,Returned,3.6
ORD10044,2023-07-03,July,Q3,Grocery,Rice 5kg,Delhi,Delhi,3,30434.46,3.0,88564.28,Cash on Delivery,Cancelled,3.2
ORD10045,2023-06-26,June,Q2,Beauty,Lipstick,Jaipur,Rajasthan,5,14780.14,20.0,59120.56,Credit Card,Cancelled,3.6
ORD10046,2023-11-06,November,Q4,Sports,Dumbbells,Kolkata,West Bengal,2,20719.99,33.0,27764.79,Credit Card,Delivered,3.5
ORD10047,2023-05-16,May,Q2,Toys,Doll,Hyderabad,Telangana,3,47681.95,27.0,104423.47,Credit Card,Delivered,3.7
ORD10048,2023-01-23,January,Q1,Clothing,Kurta,Delhi,Delhi,3,40597.88,22.0,94999.04,Cash on Delivery,Cancelled,4.0
ORD10049,2023-08-24,August,Q3,Beauty,Face Cream,Pune,Maharashtra,3,43686.69,38.0,81257.24,Credit Card,Delivered,3.6
ORD10050,2023-10-02,October,Q4,Books,Novel,Delhi,Delhi,5,25395.26,6.0,119357.72,Credit Card,Delivered,3.7
ORD10051,2023-03-05,March,Q1,Beauty,Face Cream,Hyderabad,Telangana,5,11346.65,17.0,47088.6,Cash on Delivery,Cancelled,3.9
ORD10052,2023-07-13,July,Q3,Electronics,Tablet,Hyderabad,Telangana,1,9061.78,28.0,6524.48,UPI,Delivered,3.3
ORD10053,2023-02-10,February,Q1,Electronics,Laptop,Bangalore,Karnataka,5,32884.36,3.0,159489.15,Credit Card,Delivered,4.4
ORD10054,2023-10-10,October,Q4,Sports,Dumbbells,Pune,Maharashtra,4,17077.75,15.0,58064.35,Cash on Delivery,Cancelled,4.3
ORD10055,2023-05-31,May,Q2,Clothing,T-Shirt,Bangalore,Karnataka,2,37734.07,2.0,73958.78,Net Banking,Returned,2.7
ORD10056,2023-11-18,November,Q4,Grocery,Biscuits,Kolkata,West Bengal,4,13694.68,30.0,38345.1,Net Banking,Delivered,2.8
ORD10057,2023-11-13,November,Q4,Books,Children Book,Kolkata,West Bengal,5,33373.27,2.0,163529.02,Cash on Delivery,Delivered,3.5
ORD10058,2023-07-05,July,Q3,Electronics,Laptop,Hyderabad,Telangana,2,38379.11,31.0,52963.17,Credit Card,Delivered,3.2
ORD10059,2023-10-23,October,Q4,Grocery,Tea 250g,Bangalore,Karnataka,2,19041.36,28.0,27419.56,UPI,Delivered,3.8
ORD10060,2023-04-09,April,Q2,Toys,LEGO Set,Pune,Maharashtra,1,23014.72,3.0,22324.28,Net Banking,Cancelled,3.3
ORD10061,2023-12-27,December,Q4,Toys,RC Car,Hyderabad,Telangana,1,20281.36,39.0,12371.63,Cash on Delivery,Returned,2.9
ORD10062,2023-02-05,February,Q1,Beauty,Face Cream,Pune,Maharashtra,1,12203.66,24.0,9274.78,Net Banking,Delivered,3.8
ORD10063,2023-01-24,January,Q1,Beauty,Shampoo,Madurai,Tamil Nadu,2,3865.15,25.0,5797.73,Debit Card,Delivered,3.8
ORD10064,2023-12-05,December,Q4,Beauty,Shampoo,Chennai,Tamil Nadu,1,7364.89,8.0,6775.7,Credit Card,Delivered,4.0
ORD10065,2023-04-27,April,Q2,Grocery,Tea 250g,Jaipur,Rajasthan,5,22472.82,37.0,70789.38,Cash on Delivery,Delivered,3.9
ORD10066,2023-05-29,May,Q2,Beauty,Shampoo,Kolkata,West Bengal,1,23472.61,25.0,17604.46,Cash on Delivery,Delivered,4.5
ORD10067,2023-02-10,February,Q1,Beauty,Sunscreen,Delhi,Delhi,3,23114.04,2.0,67955.28,UPI,Delivered,3.4
ORD10068,2023-04-30,April,Q2,Clothing,Jacket,Jaipur,Rajasthan,5,19254.9,23.0,74131.37,Credit Card,Returned,4.9
ORD10069,2023-02-21,February,Q1,Sports,Yoga Mat,Jaipur,Rajasthan,4,25093.3,38.0,62231.38,UPI,Delivered,3.6
ORD10070,2023-07-14,July,Q3,Home & Kitchen,Mixer Grinder,Chennai,Tamil Nadu,4,49549.75,21.0,156577.21,UPI,Delivered,4.0
ORD10071,2023-05-23,May,Q2,Books,UPSC Guide,Pune,Maharashtra,3,33960.94,2.0,99845.16,UPI,Delivered,4.1
ORD10072,2023-08-21,August,Q3,Beauty,Face Cream,Ahmedabad,Gujarat,4,14243.14,29.0,40450.52,Cash on Delivery,Delivered,4.1
ORD10073,2023-11-22,November,Q4,Beauty,Face Cream,Jaipur,Rajasthan,2,45841.49,12.0,80681.02,Net Banking,Delivered,4.1
ORD10074,2023-07-06,July,Q3,Clothing,Saree,Ahmedabad,Gujarat,4,32192.49,13.0,112029.87,Cash on Delivery,Delivered,2.8
ORD10075,2023-03-25,March,Q1,Toys,Puzzle,Madurai,Tamil Nadu,1,18161.75,7.0,16890.43,Net Banking,Delivered,3.0
ORD10076,2023-07-09,July,Q3,Sports,Football,Bangalore,Karnataka,1,14824.82,32.0,10080.88,Cash on Delivery,Cancelled,3.8
ORD10077,2023-07-01,July,Q3,Electronics,Headphones,Jaipur,Rajasthan,2,29882.46,6.0,56179.02,Cash on Delivery,Delivered,3.0
ORD10078,2023-04-18,April,Q2,Grocery,Rice 5kg,Pune,Maharashtra,3,33834.33,10.0,91352.69,UPI,Returned,3.6
ORD10079,2023-12-10,December,Q4,Sports,Badminton Set,Chennai,Tamil Nadu,3,48281.55,31.0,99942.81,Debit Card,Delivered,4.8
ORD10080,2023-05-17,May,Q2,Grocery,Tea 250g,Hyderabad,Telangana,4,25170.19,17.0,83565.03,Debit Card,Cancelled,2.9
ORD10081,2023-12-26,December,Q4,Home & Kitchen,Bedsheet,Mumbai,Maharashtra,4,43712.14,22.0,136381.88,Cash on Delivery,Delivered,2.8
ORD10082,2023-12-16,December,Q4,Books,Data Science Book,Bangalore,Karnataka,3,22493.5,21.0,53309.6,Credit Card,Delivered,4.6
ORD10083,2023-11-28,November,Q4,Grocery,Oil 1L,Mumbai,Maharashtra,4,2710.18,20.0,8672.58,Credit Card,Delivered,3.1
ORD10084,2023-02-06,February,Q1,Sports,Cricket Bat,Madurai,Tamil Nadu,1,41966.86,26.0,31055.48,Debit Card,Delivered,4.5
ORD10085,2023-11-08,November,Q4,Books,UPSC Guide,Bangalore,Karnataka,4,22457.64,0.0,89830.56,UPI,Delivered,2.7
ORD10086,2023-11-22,November,Q4,Home & Kitchen,Water Bottle,Jaipur,Rajasthan,5,21191.58,31.0,73110.95,Credit Card,Delivered,3.1
ORD10087,2023-03-29,March,Q1,Sports,Dumbbells,Jaipur,Rajasthan,4,3187.22,33.0,8541.75,Cash on Delivery,Delivered,3.7
ORD10088,2023-10-01,October,Q4,Sports,Football,Hyderabad,Telangana,4,128.14,14.0,440.8,Debit Card,Delivered,3.9
ORD10089,2023-05-06,May,Q2,Beauty,Face Cream,Ahmedabad,Gujarat,5,25391.02,40.0,76173.06,Net Banking,Returned,3.9
ORD10090,2023-03-25,March,Q1,Electronics,Smart Watch,Madurai,Tamil Nadu,3,37378.46,14.0,96436.43,Debit Card,Delivered,2.7
ORD10091,2023-08-25,August,Q3,Beauty,Shampoo,Mumbai,Maharashtra,3,27323.39,33.0,54920.01,Net Banking,Returned,2.9
ORD10092,2023-07-14,July,Q3,Home & Kitchen,Pressure Cooker,Delhi,Delhi,4,1897.34,8.0,6982.21,Credit Card,Delivered,4.5
ORD10093,2023-05-19,May,Q2,Books,Children Book,Pune,Maharashtra,5,23696.32,1.0,117296.78,UPI,Delivered,4.1
ORD10094,2023-11-24,November,Q4,Electronics,Headphones,Hyderabad,Telangana,1,39977.15,17.0,33181.03,Net Banking,Returned,3.5
ORD10095,2023-12-19,December,Q4,Beauty,Shampoo,Kolkata,West Bengal,4,18398.98,32.0,50045.23,Credit Card,Returned,3.2
ORD10096,2023-10-13,October,Q4,Clothing,Kurta,Jaipur,Rajasthan,2,27296.45,13.0,47495.82,UPI,Delivered,2.7
ORD10097,2023-04-23,April,Q2,Grocery,Biscuits,Pune,Maharashtra,2,34503.75,14.0,59346.45,UPI,Cancelled,2.6
ORD10098,2023-12-17,December,Q4,Toys,Doll,Mumbai,Maharashtra,1,33575.64,16.0,28203.54,Debit Card,Delivered,3.8
